session_id,user_id,persona,session_start,session_end,session_duration_minutes,exit_reason,is_weekend
S0000030,U04095,trend_hopper,2025-01-26 00:26:27,2025-01-26 00:36:27,10,interruption,True
S0000031,U04888,trend_hopper,2025-08-19 00:36:29,2025-08-19 01:01:29,25,interruption,False
S0000032,U04255,passive_scroller,2026-01-27 00:29:59,2026-01-27 00:42:59,13,boredom,False
S0000033,U04944,passive_scroller,2025-10-17 23:37:58,2025-10-17 23:46:58,9,fatigue,False
S0000034,U00277,binge_user,2026-03-27 19:55:02,2026-03-27 21:06:02,71,goal_completed,False
S0000035,U04930,active_engager,2026-01-08 21:51:40,2026-01-08 22:10:40,19,boredom,False
S0000036,U04205,binge_user,2026-01-05 21:13:02,2026-01-05 22:46:02,93,goal_completed,False
S0000037,U04374,trend_hopper,2025-05-28 21:44:24,2025-05-28 22:00:24,16,goal_completed,False
S0000038,U03293,binge_user,2026-04-04 20:02:34,2026-04-04 22:04:34,122,goal_completed,True
S0000039,U00796,active_engager,2025-11-21 01:31:24,2025-11-21 01:56:24,25,fatigue,False
S0000040,U03793,active_engager,2025-04-07 19:06:50,2025-04-07 19:45:50,39,fatigue,False
S0000041,U00831,binge_user,2025-07-12 18:22:37,2025-07-12 20:10:37,108,interruption,True
S0000042,U01930,trend_hopper,2025-03-03 22:43:05,2025-03-03 23:04:05,21,fatigue,False
S0000043,U00461,active_engager,2026-04-13 23:18:33,2026-04-13 23:44:33,26,goal_completed,False
S0000044,U01066,active_engager,2025-11-04 22:09:02,2025-11-04 22:40:02,31,interruption,False
S0000045,U03076,active_engager,2025-07-23 19:02:04,2025-07-23 19:46:04,44,fatigue,False
S0000046,U02864,trend_hopper,2025-10-03 21:04:56,2025-10-03 21:27:56,23,goal_completed,False
S0000047,U01287,binge_user,2026-01-12 20:01:25,2026-01-12 21:41:25,100,interruption,False
S0000048,U00998,trend_hopper,2026-02-23 21:10:37,2026-02-23 21:30:37,20,boredom,False
S0000049,U00016,active_engager,2025-08-25 23:49:59,2025-08-26 00:21:59,32,interruption,False
S0000050,U04426,active_engager,2025-06-13 20:31:41,2025-06-13 20:54:41,23,fatigue,False
S0000051,U03220,trend_hopper,2026-04-26 01:07:46,2026-04-26 01:17:46,10,boredom,True
S0000052,U04799,binge_user,2025-11-13 20:33:20,2025-11-13 21:19:20,46,goal_completed,False
S0000053,U02026,binge_user,2025-06-14 13:29:38,2025-06-14 14:47:38,78,boredom,True
S0000054,U00193,passive_scroller,2025-06-23 09:16:10,2025-06-23 09:18:10,2,fatigue,False
S0000055,U01833,trend_hopper,2025-05-18 18:41:33,2025-05-18 18:54:33,13,interruption,True
S0000056,U03231,active_engager,2025-03-27 21:35:17,2025-03-27 21:46:17,11,goal_completed,False
S0000057,U00754,trend_hopper,2025-10-23 23:20:54,2025-10-23 23:36:54,16,goal_completed,False
S0000058,U04859,passive_scroller,2025-06-14 20:03:43,2025-06-14 20:15:43,12,boredom,True
S0000059,U03542,active_engager,2025-01-08 20:29:13,2025-01-08 21:00:13,31,boredom,False
S0000060,U04220,binge_user,2025-10-18 21:14:11,2025-10-18 22:57:11,103,goal_completed,True
S0000061,U02309,passive_scroller,2025-04-16 00:33:31,2025-04-16 00:40:31,7,goal_completed,False
S0000062,U02342,binge_user,2025-02-13 21:07:51,2025-02-13 21:49:51,42,boredom,False
S0000063,U01220,trend_hopper,2025-07-04 00:34:55,2025-07-04 00:49:55,15,boredom,False
S0000064,U03336,passive_scroller,2026-02-03 21:11:28,2026-02-03 21:24:28,13,interruption,False
S0000065,U03298,trend_hopper,2025-12-19 20:41:04,2025-12-19 20:49:04,8,interruption,False
S0000066,U01740,trend_hopper,2025-05-07 01:34:06,2025-05-07 01:47:06,13,boredom,False
S0000067,U01110,binge_user,2025-04-27 08:16:50,2025-04-27 08:54:50,38,fatigue,True
S0000068,U04734,passive_scroller,2025-07-10 13:46:11,2025-07-10 13:49:11,3,goal_completed,False
S0000069,U04026,passive_scroller,2025-02-04 18:50:54,2025-02-04 18:57:54,7,fatigue,False
S0000070,U01994,binge_user,2025-11-28 23:37:07,2025-11-29 00:28:07,51,interruption,False
S0000071,U02533,passive_scroller,2025-06-01 22:06:49,2025-06-01 22:15:49,9,fatigue,True
S0000072,U01262,binge_user,2025-12-23 22:41:20,2025-12-23 23:47:20,66,goal_completed,False
S0000073,U02801,trend_hopper,2025-10-29 18:30:03,2025-10-29 18:46:03,16,interruption,False
S0000074,U02104,active_engager,2025-02-04 21:53:16,2025-02-04 22:35:16,42,boredom,False
S0000075,U03257,passive_scroller,2025-03-30 08:43:14,2025-03-30 08:46:14,3,goal_completed,True
S0000076,U02190,active_engager,2025-06-30 00:15:28,2025-06-30 00:51:28,36,goal_completed,False
S0000077,U00481,active_engager,2026-02-16 22:45:08,2026-02-16 23:25:08,40,goal_completed,False
S0000078,U02563,active_engager,2025-11-04 01:29:03,2025-11-04 02:08:03,39,boredom,False
S0000079,U03728,trend_hopper,2025-08-13 23:25:19,2025-08-13 23:40:19,15,fatigue,False
S0000080,U03199,binge_user,2026-02-11 00:08:36,2026-02-11 01:26:36,78,boredom,False
S0000081,U00451,passive_scroller,2025-08-21 18:09:06,2025-08-21 18:19:06,10,boredom,False
S0000082,U01012,active_engager,2025-07-04 22:04:46,2025-07-04 22:29:46,25,interruption,False
S0000083,U01562,binge_user,2025-10-17 00:52:18,2025-10-17 02:40:18,108,interruption,False
S0000084,U04013,binge_user,2025-03-15 19:26:44,2025-03-15 21:09:44,103,interruption,True
S0000085,U04902,active_engager,2025-11-27 21:54:46,2025-11-27 22:29:46,35,interruption,False
S0000086,U02654,passive_scroller,2026-01-11 18:40:26,2026-01-11 18:49:26,9,fatigue,True
S0000087,U01225,active_engager,2025-10-01 23:21:17,2025-10-01 23:31:17,10,interruption,False
S0000088,U03777,active_engager,2025-08-26 18:15:57,2025-08-26 18:25:57,10,goal_completed,False
S0000089,U00928,trend_hopper,2025-12-03 22:49:44,2025-12-03 23:05:44,16,boredom,False
S0000090,U01771,active_engager,2026-01-29 08:15:15,2026-01-29 08:44:15,29,interruption,False
S0000091,U03943,trend_hopper,2025-10-19 19:46:56,2025-10-19 20:01:56,15,interruption,True
S0000092,U04192,binge_user,2025-04-11 12:59:44,2025-04-11 13:50:44,51,boredom,False
S0000093,U03975,binge_user,2026-03-17 00:49:03,2026-03-17 02:22:03,93,interruption,False
S0000094,U01892,passive_scroller,2025-12-11 12:21:16,2025-12-11 12:35:16,14,goal_completed,False
S0000095,U04744,passive_scroller,2025-01-02 18:26:33,2025-01-02 18:38:33,12,interruption,False
S0000096,U02150,trend_hopper,2025-10-26 13:52:41,2025-10-26 14:04:41,12,interruption,True
S0000097,U01714,active_engager,2025-03-23 00:13:12,2025-03-23 00:43:12,30,goal_completed,True
S0000098,U00155,trend_hopper,2026-03-28 20:34:07,2026-03-28 20:53:07,19,fatigue,True
S0000099,U04078,passive_scroller,2025-06-18 18:30:56,2025-06-18 18:36:56,6,fatigue,False
S0000100,U01970,active_engager,2025-10-14 09:38:15,2025-10-14 10:01:15,23,interruption,False
S0000101,U02000,binge_user,2025-03-15 01:23:14,2025-03-15 03:33:14,130,interruption,True
S0000102,U04855,trend_hopper,2026-04-13 23:43:24,2026-04-13 23:57:24,14,fatigue,False
S0000103,U00061,active_engager,2025-06-05 20:25:19,2025-06-05 20:40:19,15,interruption,False
S0000104,U00474,passive_scroller,2025-01-20 21:44:39,2025-01-20 21:59:39,15,interruption,False
S0000105,U04635,trend_hopper,2026-03-17 23:49:33,2026-03-18 00:12:33,23,fatigue,False
S0000106,U00285,trend_hopper,2025-03-10 01:02:16,2025-03-10 01:13:16,11,fatigue,False
S0000107,U04332,binge_user,2025-11-03 22:27:57,2025-11-03 23:48:57,81,interruption,False
S0000108,U04638,binge_user,2025-05-15 19:37:05,2025-05-15 20:56:05,79,fatigue,False
S0000109,U03963,passive_scroller,2025-12-02 23:43:28,2025-12-02 23:46:28,3,fatigue,False
S0000110,U01066,active_engager,2025-01-02 19:11:23,2025-01-02 19:27:23,16,goal_completed,False
S0000111,U00248,active_engager,2025-12-07 19:10:34,2025-12-07 20:02:34,52,boredom,True
S0000112,U02573,active_engager,2025-05-04 13:30:05,2025-05-04 13:45:05,15,fatigue,True
S0000113,U00676,trend_hopper,2025-08-29 13:14:31,2025-08-29 13:37:31,23,goal_completed,False
S0000114,U01329,trend_hopper,2026-01-08 18:51:50,2026-01-08 19:05:50,14,interruption,False
S0000115,U03047,passive_scroller,2025-09-19 20:51:30,2025-09-19 21:05:30,14,interruption,False
S0000116,U04377,trend_hopper,2025-12-11 22:08:37,2025-12-11 22:28:37,20,interruption,False
S0000117,U00744,passive_scroller,2025-07-11 13:50:57,2025-07-11 14:02:57,12,goal_completed,False
S0000118,U00757,trend_hopper,2025-06-07 00:49:41,2025-06-07 01:14:41,25,interruption,True
S0000119,U03944,binge_user,2025-07-14 23:28:42,2025-07-15 00:38:42,70,fatigue,False
S0000120,U03675,binge_user,2025-08-20 19:50:15,2025-08-20 21:49:15,119,interruption,False
S0000121,U00033,passive_scroller,2026-03-15 21:29:45,2026-03-15 21:43:45,14,boredom,True
S0000122,U02952,trend_hopper,2025-01-13 09:01:24,2025-01-13 09:16:24,15,goal_completed,False
S0000123,U03716,binge_user,2025-04-19 01:08:19,2025-04-19 01:47:19,39,interruption,True
S0000124,U03495,active_engager,2025-05-01 01:47:13,2025-05-01 02:09:13,22,fatigue,False
S0000125,U02298,trend_hopper,2025-01-18 18:51:34,2025-01-18 19:15:34,24,interruption,True
S0000126,U00254,passive_scroller,2025-04-11 22:50:21,2025-04-11 22:52:21,2,fatigue,False
S0000127,U00500,binge_user,2025-11-07 01:29:06,2025-11-07 02:45:06,76,interruption,False
S0000128,U03984,binge_user,2025-09-01 00:36:10,2025-09-01 01:21:10,45,fatigue,False
S0000129,U01903,passive_scroller,2025-03-25 12:30:28,2025-03-25 12:39:28,9,boredom,False
S0000130,U02439,active_engager,2025-04-20 20:14:15,2025-04-20 20:48:15,34,boredom,True
S0000131,U04949,passive_scroller,2025-12-09 00:05:15,2025-12-09 00:15:15,10,goal_completed,False
S0000132,U02441,trend_hopper,2025-07-12 22:11:57,2025-07-12 22:19:57,8,fatigue,True
S0000133,U02545,binge_user,2026-03-05 23:02:10,2026-03-05 23:50:10,48,fatigue,False
S0000134,U00431,binge_user,2025-11-27 22:01:24,2025-11-27 22:44:24,43,boredom,False
S0000135,U01989,active_engager,2026-04-13 21:37:13,2026-04-13 21:57:13,20,interruption,False
S0000136,U04735,binge_user,2026-02-19 23:37:45,2026-02-20 00:08:45,31,interruption,False
S0000137,U00778,passive_scroller,2026-02-14 19:13:18,2026-02-14 19:20:18,7,interruption,True
S0000138,U03992,binge_user,2025-12-19 20:40:11,2025-12-19 21:57:11,77,goal_completed,False
S0000139,U02378,binge_user,2026-03-26 21:43:48,2026-03-26 22:29:48,46,goal_completed,False
S0000140,U01358,binge_user,2026-01-11 19:19:37,2026-01-11 20:43:37,84,fatigue,True
S0000141,U00497,binge_user,2025-11-05 21:17:52,2025-11-05 23:02:52,105,fatigue,False
S0000142,U01396,binge_user,2025-11-06 22:28:07,2025-11-06 23:19:07,51,boredom,False
S0000143,U01722,active_engager,2025-07-12 21:51:22,2025-07-12 22:07:22,16,boredom,True
S0000144,U01156,binge_user,2025-01-28 18:32:41,2025-01-28 20:01:41,89,interruption,False
S0000145,U03050,passive_scroller,2025-01-18 20:37:51,2025-01-18 20:47:51,10,goal_completed,True
S0000146,U02107,active_engager,2025-03-23 20:15:00,2025-03-23 21:04:00,49,goal_completed,True
S0000147,U00469,passive_scroller,2026-04-18 19:14:12,2026-04-18 19:22:12,8,interruption,True
S0000148,U03173,trend_hopper,2026-02-09 21:26:37,2026-02-09 21:50:37,24,interruption,False
S0000149,U01022,binge_user,2025-07-13 18:07:05,2025-07-13 19:22:05,75,interruption,True
S0000150,U03110,passive_scroller,2025-11-05 22:33:46,2025-11-05 22:48:46,15,goal_completed,False
S0000151,U00425,binge_user,2026-04-16 19:58:06,2026-04-16 20:41:06,43,goal_completed,False
S0000152,U04508,trend_hopper,2025-08-07 19:36:54,2025-08-07 20:00:54,24,goal_completed,False
S0000153,U02935,binge_user,2025-11-02 22:07:42,2025-11-03 00:19:42,132,interruption,True
S0000154,U02509,trend_hopper,2026-01-09 23:22:38,2026-01-09 23:28:38,6,interruption,False
S0000155,U00656,trend_hopper,2026-01-02 21:15:01,2026-01-02 21:25:01,10,goal_completed,False
S0000156,U02444,binge_user,2026-01-21 01:33:38,2026-01-21 03:13:38,100,boredom,False
S0000157,U04532,passive_scroller,2025-03-29 22:01:31,2025-03-29 22:05:31,4,interruption,True
S0000158,U00666,passive_scroller,2025-09-05 19:25:05,2025-09-05 19:37:05,12,boredom,False
S0000159,U04197,binge_user,2025-02-03 22:10:32,2025-02-03 23:59:32,109,boredom,False
S0000160,U03238,trend_hopper,2026-01-27 01:11:05,2026-01-27 01:21:05,10,boredom,False
S0000161,U03055,trend_hopper,2025-05-28 20:13:20,2025-05-28 20:29:20,16,fatigue,False
S0000162,U00293,binge_user,2025-04-08 00:32:18,2025-04-08 01:30:18,58,interruption,False
S0000163,U00463,active_engager,2025-02-01 08:25:18,2025-02-01 08:57:18,32,fatigue,True
S0000164,U03928,trend_hopper,2026-04-13 18:31:11,2026-04-13 18:50:11,19,interruption,False
S0000165,U04078,passive_scroller,2026-01-09 13:27:26,2026-01-09 13:41:26,14,fatigue,False
S0000166,U02408,passive_scroller,2026-04-11 09:15:09,2026-04-11 09:30:09,15,interruption,True
S0000167,U04831,passive_scroller,2025-11-28 01:43:23,2025-11-28 01:47:23,4,boredom,False
S0000168,U01037,passive_scroller,2025-03-30 01:11:37,2025-03-30 01:15:37,4,goal_completed,True
S0000169,U03328,active_engager,2026-01-25 01:27:28,2026-01-25 01:58:28,31,goal_completed,True
S0000170,U00870,binge_user,2025-11-16 21:38:04,2025-11-16 23:36:04,118,goal_completed,True
S0000171,U04770,active_engager,2025-11-14 01:24:42,2025-11-14 02:00:42,36,fatigue,False
S0000172,U03601,trend_hopper,2025-01-05 23:03:07,2025-01-05 23:16:07,13,fatigue,True
S0000173,U02877,trend_hopper,2025-10-09 13:27:47,2025-10-09 13:35:47,8,goal_completed,False
S0000174,U02208,active_engager,2025-04-14 00:33:25,2025-04-14 00:59:25,26,fatigue,False
S0000175,U02739,trend_hopper,2025-06-01 22:01:41,2025-06-01 22:28:41,27,fatigue,True
S0000176,U02850,binge_user,2025-12-24 23:27:12,2025-12-25 00:02:12,35,interruption,False
S0000177,U01288,active_engager,2025-09-04 20:05:17,2025-09-04 20:30:17,25,boredom,False
S0000178,U02415,trend_hopper,2025-07-12 18:30:51,2025-07-12 18:36:51,6,goal_completed,True
S0000179,U00731,trend_hopper,2026-03-25 22:41:41,2026-03-25 23:06:41,25,boredom,False
S0000180,U01154,passive_scroller,2025-11-17 23:41:03,2025-11-17 23:50:03,9,interruption,False
S0000181,U03685,binge_user,2025-01-09 20:07:06,2025-01-09 21:21:06,74,interruption,False
S0000182,U01352,passive_scroller,2025-10-31 01:32:37,2025-10-31 01:43:37,11,interruption,False
S0000183,U00196,trend_hopper,2025-01-02 21:56:01,2025-01-02 22:09:01,13,interruption,False
S0000184,U04214,binge_user,2025-09-04 22:13:09,2025-09-04 23:44:09,91,goal_completed,False
S0000185,U02733,trend_hopper,2025-02-06 01:12:33,2025-02-06 01:31:33,19,boredom,False
S0000186,U02722,active_engager,2026-04-24 18:26:47,2026-04-24 19:04:47,38,goal_completed,False
S0000187,U03291,trend_hopper,2026-04-07 23:36:08,2026-04-07 23:45:08,9,boredom,False
S0000188,U03790,trend_hopper,2025-06-19 20:23:03,2025-06-19 20:38:03,15,fatigue,False
S0000189,U03207,trend_hopper,2025-07-21 21:56:54,2025-07-21 22:15:54,19,goal_completed,False
S0000190,U01318,passive_scroller,2025-08-27 23:43:00,2025-08-27 23:55:00,12,goal_completed,False
S0000191,U04387,passive_scroller,2025-06-29 18:56:11,2025-06-29 19:04:11,8,interruption,True
S0000192,U02875,passive_scroller,2026-03-14 22:51:44,2026-03-14 23:01:44,10,goal_completed,True
S0000193,U04415,binge_user,2025-05-28 08:07:45,2025-05-28 09:01:45,54,interruption,False
S0000194,U03835,passive_scroller,2025-09-06 21:28:17,2025-09-06 21:38:17,10,goal_completed,True
S0000195,U02811,active_engager,2026-01-14 01:53:03,2026-01-14 02:09:03,16,boredom,False
S0000196,U04437,trend_hopper,2026-04-16 20:51:12,2026-04-16 20:56:12,5,interruption,False
S0000197,U02037,active_engager,2025-02-06 20:33:52,2025-02-06 21:07:52,34,goal_completed,False
S0000198,U00626,trend_hopper,2026-02-27 18:09:14,2026-02-27 18:34:14,25,boredom,False
S0000199,U04405,active_engager,2025-11-18 01:35:00,2025-11-18 02:06:00,31,goal_completed,False
S0000200,U02165,trend_hopper,2025-10-02 23:49:08,2025-10-03 00:07:08,18,goal_completed,False
S0000201,U03971,trend_hopper,2025-09-26 21:11:08,2025-09-26 21:36:08,25,fatigue,False
S0000202,U00287,trend_hopper,2026-04-04 00:47:17,2026-04-04 01:13:17,26,interruption,True
S0000203,U04279,active_engager,2026-04-18 22:52:01,2026-04-18 23:43:01,51,boredom,True
S0000204,U02459,trend_hopper,2026-03-07 20:14:43,2026-03-07 20:28:43,14,interruption,True
S0000205,U00452,trend_hopper,2025-03-04 01:30:43,2025-03-04 01:35:43,5,interruption,False
S0000206,U03722,active_engager,2026-01-22 21:10:24,2026-01-22 21:55:24,45,goal_completed,False
S0000207,U03970,passive_scroller,2026-01-08 08:51:11,2026-01-08 08:58:11,7,goal_completed,False
S0000208,U03208,binge_user,2025-08-09 20:29:08,2025-08-09 21:30:08,61,interruption,True
S0000209,U03887,binge_user,2025-04-25 00:38:55,2025-04-25 02:29:55,111,boredom,False
S0000210,U01726,binge_user,2025-03-07 18:02:13,2025-03-07 19:58:13,116,goal_completed,False
S0000211,U01979,active_engager,2025-09-30 22:24:27,2025-09-30 22:40:27,16,boredom,False
S0000212,U02251,trend_hopper,2025-05-14 23:51:19,2025-05-14 23:56:19,5,interruption,False
S0000213,U04164,active_engager,2025-01-13 01:19:00,2025-01-13 01:45:00,26,interruption,False
S0000214,U03177,binge_user,2026-03-15 18:58:38,2026-03-15 20:10:38,72,fatigue,True
S0000215,U04016,trend_hopper,2026-01-06 12:01:17,2026-01-06 12:19:17,18,boredom,False
S0000216,U02486,active_engager,2025-08-22 21:06:31,2025-08-22 21:50:31,44,fatigue,False
S0000217,U03836,passive_scroller,2025-04-28 21:00:28,2025-04-28 21:14:28,14,boredom,False
S0000218,U02030,active_engager,2025-04-06 22:28:12,2025-04-06 22:54:12,26,interruption,True
S0000219,U03408,passive_scroller,2025-07-27 22:30:08,2025-07-27 22:48:08,18,fatigue,True
S0000220,U03683,trend_hopper,2025-05-07 21:09:19,2025-05-07 21:26:19,17,interruption,False
S0000221,U02354,trend_hopper,2026-04-12 21:04:41,2026-04-12 21:10:41,6,goal_completed,True
S0000222,U03599,binge_user,2025-06-30 00:09:11,2025-06-30 00:57:11,48,boredom,False
S0000223,U04529,trend_hopper,2026-04-23 19:24:46,2026-04-23 19:41:46,17,boredom,False
S0000224,U04957,trend_hopper,2025-11-14 22:29:27,2025-11-14 22:51:27,22,boredom,False
S0000225,U01795,passive_scroller,2025-07-31 13:33:33,2025-07-31 13:47:33,14,interruption,False
S0000226,U02605,binge_user,2025-06-22 20:13:43,2025-06-22 21:51:43,98,fatigue,True
S0000227,U03738,passive_scroller,2026-03-07 12:02:08,2026-03-07 12:12:08,10,boredom,True
S0000228,U00998,trend_hopper,2026-04-19 20:52:13,2026-04-19 21:01:13,9,interruption,True
S0000229,U04136,trend_hopper,2025-03-18 19:17:46,2025-03-18 19:31:46,14,goal_completed,False
S0000230,U00457,trend_hopper,2025-05-22 12:56:57,2025-05-22 13:09:57,13,goal_completed,False
S0000231,U03121,active_engager,2025-03-14 18:59:33,2025-03-14 19:18:33,19,goal_completed,False
S0000232,U02505,trend_hopper,2025-02-27 19:39:46,2025-02-27 19:45:46,6,boredom,False
S0000233,U01933,passive_scroller,2025-02-01 21:33:17,2025-02-01 21:47:17,14,boredom,True
S0000234,U03649,binge_user,2025-07-17 19:52:01,2025-07-17 20:44:01,52,boredom,False
S0000235,U02472,passive_scroller,2025-11-27 22:07:19,2025-11-27 22:21:19,14,goal_completed,False
S0000236,U02202,passive_scroller,2025-07-05 21:53:52,2025-07-05 22:03:52,10,interruption,True
S0000237,U02052,binge_user,2025-05-29 21:23:16,2025-05-29 22:48:16,85,boredom,False
S0000238,U02016,active_engager,2025-02-24 00:56:04,2025-02-24 01:13:04,17,fatigue,False
S0000239,U04563,trend_hopper,2026-03-28 12:40:48,2026-03-28 12:49:48,9,interruption,True
S0000240,U00600,passive_scroller,2026-04-08 13:43:30,2026-04-08 13:47:30,4,goal_completed,False
S0000241,U03564,passive_scroller,2025-05-14 01:59:26,2025-05-14 02:02:26,3,fatigue,False
S0000242,U03269,passive_scroller,2025-08-04 01:15:00,2025-08-04 01:26:00,11,boredom,False
S0000243,U02866,active_engager,2025-03-31 21:44:18,2025-03-31 22:18:18,34,fatigue,False
S0000244,U02365,active_engager,2025-04-04 21:58:20,2025-04-04 22:32:20,34,goal_completed,False
S0000245,U04762,binge_user,2025-01-11 22:31:38,2025-01-11 23:52:38,81,fatigue,True
S0000246,U01457,active_engager,2026-01-18 21:11:49,2026-01-18 21:43:49,32,fatigue,True
S0000247,U03122,binge_user,2025-05-17 23:06:45,2025-05-17 23:42:45,36,fatigue,True
S0000248,U03003,trend_hopper,2025-08-05 00:18:28,2025-08-05 00:41:28,23,goal_completed,False
S0000249,U01686,binge_user,2025-03-06 22:41:03,2025-03-07 00:14:03,93,interruption,False
S0000250,U02605,binge_user,2025-08-30 23:40:44,2025-08-31 01:44:44,124,boredom,True
S0000251,U04239,binge_user,2025-01-31 23:05:59,2025-02-01 00:47:59,102,goal_completed,False
S0000252,U04298,active_engager,2025-07-26 19:21:23,2025-07-26 20:00:23,39,interruption,True
S0000253,U04030,active_engager,2025-08-02 18:11:01,2025-08-02 18:39:01,28,interruption,True
S0000254,U04683,binge_user,2025-08-24 19:17:52,2025-08-24 21:41:52,144,goal_completed,True
S0000255,U04372,active_engager,2025-10-15 21:03:21,2025-10-15 21:40:21,37,interruption,False
S0000256,U00594,passive_scroller,2025-05-20 19:20:06,2025-05-20 19:34:06,14,boredom,False
S0000257,U04863,trend_hopper,2025-05-22 21:28:05,2025-05-22 21:40:05,12,goal_completed,False
S0000258,U02532,trend_hopper,2026-02-14 22:57:19,2026-02-14 23:27:19,30,boredom,True
S0000259,U02984,binge_user,2025-05-07 18:33:15,2025-05-07 20:08:15,95,boredom,False
S0000260,U03051,binge_user,2025-10-29 21:23:18,2025-10-29 21:56:18,33,fatigue,False
S0000261,U02137,trend_hopper,2025-09-13 12:37:10,2025-09-13 12:45:10,8,interruption,True
S0000262,U03409,trend_hopper,2025-02-12 21:04:27,2025-02-12 21:20:27,16,interruption,False
S0000263,U02783,binge_user,2026-02-21 22:50:32,2026-02-22 00:17:32,87,boredom,True
S0000264,U04809,trend_hopper,2025-05-05 22:46:44,2025-05-05 22:59:44,13,goal_completed,False
S0000265,U02432,active_engager,2025-11-09 18:00:50,2025-11-09 18:46:50,46,goal_completed,True
S0000266,U00053,binge_user,2025-08-27 19:24:49,2025-08-27 21:11:49,107,interruption,False
S0000267,U03463,active_engager,2025-12-09 19:26:42,2025-12-09 19:53:42,27,fatigue,False
S0000268,U02922,binge_user,2026-01-31 23:31:21,2026-02-01 01:31:21,120,fatigue,True
S0000269,U04414,trend_hopper,2025-11-14 18:09:55,2025-11-14 18:18:55,9,goal_completed,False
S0000270,U01858,binge_user,2025-10-10 13:49:51,2025-10-10 15:21:51,92,boredom,False
S0000271,U04281,active_engager,2025-02-04 19:27:21,2025-02-04 19:42:21,15,interruption,False
S0000272,U00238,binge_user,2026-01-07 19:58:19,2026-01-07 21:46:19,108,fatigue,False
S0000273,U01497,active_engager,2025-07-18 19:09:57,2025-07-18 19:45:57,36,boredom,False
S0000274,U03386,passive_scroller,2025-05-19 09:34:35,2025-05-19 09:43:35,9,boredom,False
S0000275,U00168,passive_scroller,2025-11-13 22:39:37,2025-11-13 22:43:37,4,fatigue,False
S0000276,U03690,active_engager,2025-05-10 21:28:55,2025-05-10 21:53:55,25,interruption,True
S0000277,U03400,binge_user,2025-01-20 21:51:05,2025-01-20 22:49:05,58,boredom,False
S0000278,U00922,trend_hopper,2025-01-18 22:21:03,2025-01-18 22:27:03,6,goal_completed,True
S0000279,U00746,passive_scroller,2025-07-14 22:15:45,2025-07-14 22:27:45,12,interruption,False
