user_id,username,country,age,persona,signup_date,binge_tendency,engagement_rate,favorite_categories
U00030,ojohnson,Aruba,45,binge_user,2026-04-23,0.87,0.12,"music,finance,sports"
U00031,kelleyjulie,Bangladesh,18,passive_scroller,2025-08-21,0.14,0.03,"memes,anime,food"
U00032,tiffanyboyer,Bulgaria,36,passive_scroller,2025-12-30,0.33,0.03,"food,anime,finance"
U00033,pmcmillan,Argentina,22,passive_scroller,2025-11-22,0.11,0.04,"tech,memes,music"
U00034,zmyers,Bermuda,21,active_engager,2025-09-09,0.47,0.2,"anime,tech,finance"
U00035,stevenchavez,British Indian Ocean Territory (Chagos Archipelago),24,binge_user,2026-03-29,0.93,0.06,"finance,fitness,sports"
U00036,harrisanne,Botswana,41,binge_user,2026-03-08,0.74,0.13,"anime,sports,tech"
U00037,qsmith,Denmark,21,active_engager,2025-10-18,0.67,0.34,"tech,fitness,sports"
U00038,ryanthomas,Senegal,32,binge_user,2025-10-10,0.7,0.1,"sports,fitness,memes"
U00039,aaronadkins,Kazakhstan,38,trend_hopper,2025-01-30,0.32,0.1,"fitness,gaming,music"
U00040,ywheeler,Vanuatu,41,trend_hopper,2025-05-03,0.36,0.05,"anime,finance,food"
U00041,harriskimberly,Dominican Republic,43,trend_hopper,2025-03-12,0.31,0.11,"anime,tech,fitness"
U00042,christinaescobar,Saint Vincent and the Grenadines,29,trend_hopper,2025-03-29,0.31,0.09,"music,food,sports"
U00043,cynthia56,Korea,43,passive_scroller,2025-05-23,0.36,0.03,"music,anime,sports"
U00044,gainescarlos,Burundi,26,trend_hopper,2025-03-29,0.52,0.1,"anime,music,tech"
U00045,williamssteven,Togo,28,active_engager,2026-01-03,0.54,0.34,"anime,food,gaming"
U00046,tiffany99,Niger,41,passive_scroller,2026-03-30,0.22,0.05,"anime,fitness,gaming"
U00047,frederickbryan,Estonia,45,active_engager,2025-08-17,0.62,0.28,"finance,anime,memes"
U00048,melissa47,Indonesia,38,trend_hopper,2025-08-10,0.42,0.08,"memes,gaming,sports"
U00049,emily13,Turkmenistan,42,active_engager,2025-07-09,0.64,0.21,"food,finance,anime"
U00050,onoble,French Polynesia,45,trend_hopper,2025-09-05,0.51,0.05,"tech,finance,fitness"
U00051,williamsrobin,Micronesia,30,active_engager,2025-02-24,0.67,0.16,"gaming,memes,sports"
U00052,arodriguez,Qatar,32,binge_user,2025-05-20,0.77,0.15,"food,tech,memes"
U00053,clarknancy,Liechtenstein,44,binge_user,2025-06-18,0.91,0.06,"tech,food,sports"
U00054,david68,Belize,40,passive_scroller,2026-04-10,0.15,0.04,"music,sports,fitness"
U00055,daniel35,Taiwan,36,active_engager,2025-03-18,0.59,0.18,"food,gaming,fitness"
U00056,hwashington,Kiribati,39,binge_user,2025-01-25,0.96,0.1,"sports,gaming,fitness"
U00057,plewis,Libyan Arab Jamahiriya,40,active_engager,2025-12-16,0.61,0.16,"sports,finance,gaming"
U00058,mccoymelissa,Kazakhstan,24,binge_user,2025-11-06,0.89,0.13,"sports,memes,gaming"
U00059,april97,Spain,40,binge_user,2026-01-20,0.93,0.14,"memes,fitness,music"
U00060,grahambrandi,Bahrain,45,active_engager,2025-07-08,0.57,0.24,"finance,sports,fitness"
U00061,rochabeth,Svalbard & Jan Mayen Islands,21,active_engager,2026-02-20,0.55,0.22,"finance,tech,gaming"
U00062,jacksonsteven,Cameroon,35,trend_hopper,2025-03-28,0.53,0.12,"fitness,food,tech"
U00063,lmelendez,Kyrgyz Republic,25,binge_user,2025-09-14,0.81,0.15,"anime,food,tech"
U00064,todd18,Northern Mariana Islands,30,trend_hopper,2026-03-21,0.54,0.11,"sports,tech,music"
U00065,kathryn79,Egypt,32,binge_user,2025-06-04,0.89,0.06,"tech,gaming,anime"
U00066,vross,Turks and Caicos Islands,34,passive_scroller,2025-03-16,0.12,0.02,"memes,music,food"
U00067,mikaylatrujillo,Austria,27,active_engager,2025-06-26,0.61,0.21,"music,anime,memes"
U00068,suzannewright,Monaco,40,passive_scroller,2025-04-12,0.23,0.03,"tech,food,sports"
U00069,garciakatrina,Liberia,27,active_engager,2025-01-07,0.52,0.2,"fitness,finance,music"
U00070,robin07,Holy See (Vatican City State),30,passive_scroller,2025-06-19,0.16,0.05,"sports,memes,music"
U00071,ccortez,Barbados,25,active_engager,2025-11-18,0.65,0.17,"tech,finance,anime"
U00072,fitzgeraldjennifer,Mexico,29,passive_scroller,2025-09-10,0.25,0.05,"finance,sports,food"
U00073,beardjoshua,Aruba,19,active_engager,2025-04-25,0.51,0.23,"memes,gaming,anime"
U00074,wpotts,Guatemala,26,binge_user,2025-06-14,0.9,0.12,"memes,anime,tech"
U00075,cookvictoria,Western Sahara,18,active_engager,2025-10-03,0.67,0.17,"food,finance,sports"
U00076,frush,Lesotho,24,passive_scroller,2025-05-31,0.34,0.01,"memes,tech,fitness"
U00077,heatherjohnson,Djibouti,41,active_engager,2026-01-06,0.54,0.35,"fitness,memes,gaming"
U00078,xwang,Pakistan,32,passive_scroller,2025-02-09,0.28,0.05,"gaming,fitness,sports"
U00079,johnsonmaria,Benin,25,active_engager,2025-04-18,0.64,0.2,"food,sports,music"
U00080,vasquezcynthia,Belgium,36,active_engager,2025-05-01,0.57,0.29,"tech,fitness,finance"
U00081,burnsholly,Norway,43,trend_hopper,2025-06-06,0.46,0.11,"memes,gaming,food"
U00082,antonio62,Central African Republic,32,passive_scroller,2025-04-20,0.39,0.03,"gaming,music,finance"
U00083,lauren76,Burkina Faso,41,active_engager,2025-08-02,0.45,0.32,"fitness,finance,anime"
U00084,fwilliams,Switzerland,34,active_engager,2026-02-11,0.41,0.27,"fitness,music,gaming"
U00085,shernandez,Venezuela,18,passive_scroller,2026-01-16,0.17,0.03,"sports,fitness,food"
U00086,rickyrobertson,Yemen,41,active_engager,2026-03-22,0.54,0.27,"memes,sports,gaming"
U00087,hlopez,Christmas Island,35,trend_hopper,2026-03-10,0.42,0.06,"sports,music,fitness"
U00088,jonesmichael,Bahrain,42,passive_scroller,2025-02-16,0.11,0.05,"fitness,memes,finance"
U00089,ujoseph,Bahrain,26,passive_scroller,2025-03-09,0.12,0.05,"memes,gaming,tech"
U00090,tamara61,Sri Lanka,37,active_engager,2025-10-14,0.56,0.22,"tech,music,fitness"
U00091,aaron67,Iceland,36,binge_user,2025-01-26,0.98,0.11,"food,sports,gaming"
U00092,serranopaul,Tajikistan,34,active_engager,2025-04-24,0.54,0.16,"sports,memes,anime"
U00093,jeremydurham,French Guiana,29,binge_user,2025-12-08,0.77,0.07,"sports,food,finance"
U00094,amber46,Micronesia,42,active_engager,2025-08-03,0.42,0.2,"music,anime,tech"
U00095,margaretwilson,Guinea-Bissau,22,active_engager,2026-03-22,0.65,0.25,"tech,memes,finance"
U00096,michael11,Ghana,29,binge_user,2025-07-19,0.84,0.06,"fitness,gaming,tech"
U00097,gyates,Sierra Leone,32,binge_user,2025-09-20,0.99,0.08,"memes,tech,food"
U00098,sharon94,Bouvet Island (Bouvetoya),23,binge_user,2025-12-07,0.9,0.11,"fitness,tech,memes"
U00099,bradleyjohnson,Trinidad and Tobago,41,trend_hopper,2025-12-19,0.38,0.05,"fitness,sports,memes"
U00100,zwhite,Mexico,30,binge_user,2026-03-30,0.96,0.11,"anime,food,sports"
U00101,johnnygrant,Kyrgyz Republic,18,passive_scroller,2025-06-09,0.37,0.02,"memes,tech,finance"
U00102,julie45,Argentina,33,trend_hopper,2025-10-30,0.45,0.07,"memes,music,sports"
U00103,floresjeffrey,Togo,43,binge_user,2025-03-19,0.81,0.12,"finance,tech,anime"
U00104,luisschultz,Iraq,44,trend_hopper,2025-01-12,0.44,0.12,"music,anime,food"
U00105,oroberts,Reunion,35,trend_hopper,2025-02-01,0.42,0.06,"tech,anime,finance"
U00106,andrewhoward,Uganda,32,binge_user,2025-05-02,0.76,0.14,"finance,food,music"
U00107,bobbyrobbins,British Indian Ocean Territory (Chagos Archipelago),19,binge_user,2025-10-02,0.97,0.11,"gaming,fitness,music"
U00108,erin67,Chad,31,active_engager,2025-04-26,0.66,0.35,"anime,gaming,memes"
U00109,skinnercarrie,Mongolia,42,binge_user,2025-11-11,0.88,0.06,"anime,sports,memes"
U00110,janet82,Cyprus,24,trend_hopper,2026-01-09,0.36,0.08,"finance,music,gaming"
U00111,williamsavage,Turks and Caicos Islands,21,active_engager,2025-08-10,0.63,0.18,"memes,music,finance"
U00112,smithbrandon,Pakistan,23,trend_hopper,2026-02-12,0.58,0.06,"tech,fitness,music"
U00113,umoore,Canada,32,binge_user,2026-01-14,0.73,0.07,"anime,sports,gaming"
U00114,emilyhawkins,Taiwan,40,binge_user,2025-02-14,0.74,0.08,"fitness,sports,finance"
U00115,huntercobb,Austria,20,active_engager,2025-02-12,0.44,0.2,"gaming,music,sports"
U00116,qholmes,Christmas Island,23,passive_scroller,2025-09-05,0.33,0.04,"food,fitness,memes"
U00117,joshua12,Gibraltar,20,binge_user,2026-01-26,0.86,0.06,"sports,music,food"
U00118,bevans,Cyprus,33,active_engager,2026-04-28,0.4,0.28,"gaming,anime,music"
U00119,wthompson,Solomon Islands,19,active_engager,2025-06-22,0.6,0.27,"tech,anime,memes"
U00120,michaelwilliams,Svalbard & Jan Mayen Islands,26,active_engager,2026-04-19,0.54,0.22,"sports,gaming,anime"
U00121,joshua17,Mauritius,30,passive_scroller,2025-11-16,0.11,0.03,"finance,sports,tech"
U00122,debrapaul,Peru,23,active_engager,2025-12-06,0.67,0.18,"memes,sports,finance"
U00123,scottmelissa,Peru,19,passive_scroller,2025-06-22,0.33,0.05,"gaming,food,tech"
U00124,xchapman,Senegal,21,trend_hopper,2025-12-05,0.35,0.07,"fitness,music,memes"
U00125,jessicabarker,Cambodia,29,trend_hopper,2025-10-28,0.44,0.05,"sports,music,gaming"
U00126,danielsandra,Djibouti,43,binge_user,2025-12-10,0.75,0.08,"fitness,food,music"
U00127,scott96,Indonesia,32,binge_user,2026-02-06,0.93,0.05,"sports,gaming,music"
U00128,nhuber,Ghana,31,active_engager,2025-10-08,0.51,0.18,"food,music,memes"
U00129,mharris,Belize,32,active_engager,2025-04-13,0.5,0.18,"fitness,memes,food"
U00130,lisa74,Germany,19,active_engager,2025-08-13,0.45,0.32,"anime,tech,music"
U00131,gregory14,Andorra,20,trend_hopper,2025-04-25,0.44,0.08,"sports,food,tech"
U00132,wandakidd,Sudan,42,passive_scroller,2026-02-07,0.23,0.03,"finance,music,food"
U00133,fsanchez,Guernsey,32,passive_scroller,2025-05-31,0.28,0.04,"memes,fitness,anime"
U00134,xnelson,Tajikistan,23,trend_hopper,2026-02-09,0.55,0.11,"food,music,sports"
U00135,alexander81,Mexico,34,passive_scroller,2025-10-20,0.13,0.02,"memes,tech,music"
U00136,dana72,Dominican Republic,35,passive_scroller,2026-03-19,0.3,0.02,"anime,tech,gaming"
U00137,stevenortega,Pakistan,45,trend_hopper,2026-03-11,0.31,0.1,"finance,gaming,food"
U00138,fostermark,Iran,34,trend_hopper,2026-02-17,0.53,0.11,"memes,music,gaming"
U00139,beltranmichelle,Gambia,40,trend_hopper,2026-02-20,0.41,0.06,"gaming,fitness,anime"
U00140,tomlong,Brazil,45,passive_scroller,2026-04-12,0.39,0.04,"food,tech,sports"
U00141,carlasalinas,Solomon Islands,31,passive_scroller,2025-12-07,0.32,0.03,"music,sports,gaming"
U00142,zperkins,Angola,36,active_engager,2025-02-14,0.47,0.35,"music,fitness,anime"
U00143,showard,Gabon,27,active_engager,2025-10-10,0.64,0.32,"gaming,music,finance"
U00144,lauriecontreras,Korea,40,passive_scroller,2026-01-23,0.37,0.04,"food,tech,anime"
U00145,richardbradshaw,Philippines,45,passive_scroller,2025-07-20,0.33,0.02,"anime,music,food"
U00146,lewisgregory,Thailand,36,binge_user,2025-12-31,0.82,0.15,"food,gaming,tech"
U00147,jenniferdaniel,Grenada,34,passive_scroller,2026-04-01,0.22,0.01,"tech,finance,fitness"
U00148,lmay,Colombia,30,active_engager,2025-10-14,0.53,0.29,"tech,memes,food"
U00149,cynthiahunter,Algeria,35,active_engager,2025-05-24,0.6,0.17,"gaming,finance,anime"
U00150,katelynguzman,Libyan Arab Jamahiriya,34,binge_user,2025-06-06,0.78,0.1,"finance,tech,food"
U00151,dixongeoffrey,Angola,23,binge_user,2025-01-10,0.89,0.12,"sports,gaming,memes"
U00152,yvonne52,Latvia,34,active_engager,2025-09-14,0.43,0.27,"tech,anime,fitness"
U00153,cbartlett,Kyrgyz Republic,35,active_engager,2025-12-17,0.55,0.31,"music,anime,food"
U00154,robert64,Sudan,31,active_engager,2025-03-28,0.53,0.17,"food,finance,tech"
U00155,david17,Turks and Caicos Islands,27,trend_hopper,2025-10-22,0.44,0.12,"tech,anime,music"
U00156,margaretrice,Israel,25,active_engager,2025-04-10,0.5,0.26,"finance,anime,music"
U00157,fisherteresa,Tajikistan,36,active_engager,2026-04-21,0.7,0.34,"sports,anime,food"
U00158,michele95,French Southern Territories,40,trend_hopper,2026-01-20,0.53,0.1,"memes,food,music"
U00159,fernandezjohn,Vanuatu,36,active_engager,2026-03-07,0.69,0.2,"memes,anime,music"
U00160,thompsonsteve,Canada,32,binge_user,2026-03-12,0.85,0.07,"tech,gaming,food"
U00161,briangreene,Lebanon,45,trend_hopper,2025-01-07,0.43,0.07,"fitness,tech,music"
U00162,browningregina,Zambia,41,passive_scroller,2025-03-17,0.27,0.04,"fitness,sports,tech"
U00163,westlisa,Niger,19,passive_scroller,2025-05-26,0.29,0.02,"finance,sports,gaming"
U00164,joseph84,Syrian Arab Republic,29,active_engager,2025-10-10,0.43,0.23,"music,anime,gaming"
U00165,davisleroy,Lao People's Democratic Republic,43,binge_user,2025-04-30,0.79,0.06,"music,finance,sports"
U00166,dicksonkatie,Uruguay,31,active_engager,2025-10-06,0.43,0.15,"sports,finance,memes"
U00167,perrymelissa,Spain,35,active_engager,2025-01-17,0.5,0.28,"finance,anime,tech"
U00168,myersamanda,Holy See (Vatican City State),28,passive_scroller,2025-05-03,0.32,0.03,"memes,sports,music"
U00169,tylerstanley,Portugal,38,binge_user,2025-08-18,0.99,0.12,"music,finance,food"
U00170,herringjoel,Myanmar,22,binge_user,2025-05-25,0.78,0.11,"sports,music,tech"
U00171,brittany52,Congo,39,passive_scroller,2025-10-17,0.35,0.03,"sports,music,finance"
U00172,choward,Uzbekistan,40,binge_user,2025-09-23,0.72,0.13,"fitness,finance,anime"
U00173,vsimmons,Korea,18,active_engager,2026-01-20,0.6,0.26,"anime,tech,food"
U00174,kevinanderson,Niue,25,passive_scroller,2025-12-01,0.16,0.02,"fitness,anime,tech"
U00175,smithgina,Bermuda,45,passive_scroller,2025-04-13,0.38,0.03,"food,memes,anime"
U00176,davisnicole,Cameroon,40,passive_scroller,2025-08-10,0.33,0.03,"music,memes,tech"
U00177,wfaulkner,Iraq,45,trend_hopper,2025-06-30,0.44,0.08,"finance,tech,sports"
U00178,therrera,Morocco,30,binge_user,2026-03-29,0.82,0.1,"music,food,sports"
U00179,perrylisa,Germany,27,active_engager,2025-01-08,0.64,0.26,"music,gaming,sports"
U00180,amarquez,Myanmar,21,binge_user,2025-11-12,0.99,0.11,"music,sports,food"
U00181,edward37,Cambodia,35,passive_scroller,2025-08-20,0.21,0.02,"fitness,food,music"
U00182,gregorycampos,Israel,19,passive_scroller,2025-10-19,0.28,0.02,"fitness,music,memes"
U00183,utran,Korea,30,active_engager,2025-09-30,0.47,0.34,"tech,music,fitness"
U00184,jyoung,Russian Federation,38,active_engager,2026-02-10,0.69,0.18,"tech,music,anime"
U00185,jacob11,Chile,31,binge_user,2025-02-01,0.74,0.06,"anime,fitness,sports"
U00186,wrichardson,Western Sahara,27,active_engager,2026-01-13,0.49,0.33,"fitness,gaming,finance"
U00187,znewman,Cook Islands,23,active_engager,2025-06-25,0.46,0.18,"gaming,food,memes"
U00188,moorejessica,Western Sahara,40,trend_hopper,2025-12-17,0.5,0.1,"food,memes,finance"
U00189,hammondgary,Congo,36,binge_user,2025-04-12,0.8,0.06,"finance,anime,memes"
U00190,rowebrittany,Paraguay,32,binge_user,2025-12-03,0.79,0.08,"anime,gaming,music"
U00191,lauren45,Kenya,28,passive_scroller,2025-03-28,0.13,0.04,"gaming,tech,music"
U00192,katherinesanchez,Korea,30,passive_scroller,2026-03-20,0.27,0.01,"tech,gaming,memes"
U00193,fergusondwayne,Slovenia,44,passive_scroller,2025-06-14,0.34,0.04,"sports,anime,finance"
U00194,fhicks,Tajikistan,45,passive_scroller,2025-08-13,0.38,0.02,"tech,gaming,food"
U00195,barkerjason,Netherlands Antilles,42,binge_user,2025-12-11,0.73,0.11,"food,sports,memes"
U00196,toddbooth,Saint Vincent and the Grenadines,22,trend_hopper,2025-11-14,0.33,0.11,"food,finance,music"
U00197,vblackwell,Greece,37,passive_scroller,2025-03-03,0.24,0.02,"fitness,gaming,tech"
U00198,steven37,Taiwan,38,active_engager,2025-05-18,0.46,0.19,"sports,gaming,anime"
U00199,gomezjulia,British Indian Ocean Territory (Chagos Archipelago),26,passive_scroller,2025-01-21,0.14,0.04,"anime,finance,tech"
U00200,joseph04,El Salvador,35,binge_user,2026-03-11,0.71,0.07,"memes,food,gaming"
U00201,renee39,Liechtenstein,19,binge_user,2025-01-23,0.92,0.14,"gaming,finance,music"
U00202,zacharydorsey,Panama,22,active_engager,2026-01-02,0.69,0.18,"food,gaming,finance"
U00203,davidbarber,Uruguay,42,trend_hopper,2025-09-11,0.54,0.07,"music,food,anime"
U00204,robertsjustin,Colombia,31,active_engager,2025-06-17,0.55,0.22,"fitness,gaming,anime"
U00205,harrisondanielle,Lao People's Democratic Republic,31,active_engager,2026-01-05,0.42,0.28,"finance,anime,sports"
U00206,kimberlybaker,Philippines,35,passive_scroller,2026-01-30,0.13,0.04,"food,finance,gaming"
U00207,robertsonrichard,Antigua and Barbuda,18,binge_user,2025-11-09,0.92,0.09,"fitness,music,food"
U00208,bbraun,Qatar,45,active_engager,2025-08-15,0.65,0.27,"gaming,music,anime"
U00209,mcguirejeffery,Macao,34,binge_user,2025-08-06,0.77,0.06,"fitness,food,memes"
U00210,arthurhernandez,Chile,40,trend_hopper,2025-11-19,0.38,0.1,"fitness,sports,memes"
U00211,smunoz,United Kingdom,41,active_engager,2025-06-12,0.48,0.29,"memes,tech,food"
U00212,christopher69,Turks and Caicos Islands,35,passive_scroller,2025-05-22,0.3,0.01,"food,memes,fitness"
U00213,sandovalamber,Ecuador,28,active_engager,2025-09-05,0.41,0.25,"finance,gaming,food"
U00214,alison10,Costa Rica,18,binge_user,2025-07-31,0.8,0.13,"gaming,tech,memes"
U00215,ian74,Colombia,35,passive_scroller,2025-12-08,0.11,0.02,"music,gaming,memes"
U00216,aliciamedina,Guinea-Bissau,20,binge_user,2025-09-10,0.94,0.13,"memes,gaming,finance"
U00217,michaelcox,Nepal,44,passive_scroller,2026-02-15,0.13,0.04,"tech,sports,memes"
U00218,garciapamela,Chad,22,passive_scroller,2026-03-17,0.33,0.05,"tech,fitness,music"
U00219,kleinryan,Brazil,32,active_engager,2025-11-29,0.63,0.25,"sports,gaming,music"
U00220,andreaallen,Korea,36,passive_scroller,2025-08-30,0.16,0.05,"gaming,food,memes"
U00221,qhenry,Mongolia,24,trend_hopper,2026-01-03,0.31,0.07,"memes,food,finance"
U00222,cummingsmaureen,Iceland,38,binge_user,2025-01-02,0.78,0.15,"food,tech,anime"
U00223,walkernathan,Lebanon,28,passive_scroller,2026-04-07,0.25,0.03,"music,finance,gaming"
U00224,donovanaimee,Samoa,31,passive_scroller,2025-11-05,0.11,0.04,"sports,food,gaming"
U00225,xjohnson,Nicaragua,39,trend_hopper,2025-05-30,0.54,0.11,"gaming,memes,tech"
U00226,pdorsey,Netherlands,19,trend_hopper,2025-12-28,0.41,0.11,"anime,music,finance"
U00227,ldalton,Vanuatu,34,passive_scroller,2026-01-20,0.2,0.03,"gaming,fitness,music"
U00228,baileydenise,Cameroon,39,passive_scroller,2025-05-14,0.24,0.05,"anime,music,gaming"
U00229,watkinstyrone,Saint Lucia,37,trend_hopper,2025-01-11,0.37,0.06,"tech,anime,food"
U00230,meganwilliams,Iran,22,binge_user,2025-01-03,0.84,0.1,"food,music,anime"
U00231,qbrown,Canada,27,passive_scroller,2026-04-25,0.26,0.02,"fitness,finance,gaming"
U00232,veronica56,Bhutan,26,active_engager,2025-12-10,0.5,0.32,"finance,music,food"
U00233,brandistephenson,Kiribati,22,binge_user,2025-07-31,0.96,0.07,"sports,music,tech"
U00234,aduke,Mauritania,39,trend_hopper,2026-01-12,0.51,0.12,"tech,sports,finance"
U00235,terrancestephenson,Guinea,20,binge_user,2025-07-22,0.96,0.11,"gaming,anime,fitness"
U00236,pprice,Guadeloupe,37,passive_scroller,2025-08-12,0.39,0.03,"sports,music,gaming"
U00237,jenkinslindsey,Japan,45,passive_scroller,2026-01-04,0.13,0.03,"tech,memes,sports"
U00238,oturner,Russian Federation,30,binge_user,2025-04-14,0.81,0.06,"anime,gaming,fitness"
U00239,nicholas09,Malaysia,21,active_engager,2025-02-21,0.66,0.22,"memes,food,finance"
U00240,simsrobert,Grenada,24,binge_user,2025-11-26,0.88,0.07,"sports,memes,tech"
U00241,sherri39,France,18,passive_scroller,2025-06-16,0.37,0.04,"fitness,sports,anime"
U00242,tsmith,Dominica,20,trend_hopper,2025-07-18,0.41,0.12,"music,gaming,anime"
U00243,jamesgoodman,Saint Martin,20,passive_scroller,2025-12-02,0.31,0.03,"music,gaming,fitness"
U00244,danny58,Turkey,27,binge_user,2025-08-01,0.93,0.07,"tech,fitness,finance"
U00245,mmontoya,Uruguay,25,active_engager,2025-12-19,0.56,0.17,"tech,food,memes"
U00246,hwilcox,Montenegro,42,active_engager,2025-11-23,0.5,0.19,"tech,food,anime"
U00247,pamelacoffey,Maldives,24,binge_user,2025-03-31,0.92,0.09,"sports,tech,anime"
U00248,larry48,Sri Lanka,24,active_engager,2025-12-16,0.49,0.29,"sports,food,finance"
U00249,caitlin53,Afghanistan,29,active_engager,2025-12-10,0.57,0.33,"tech,finance,fitness"
U00250,toddamanda,Anguilla,19,trend_hopper,2026-04-12,0.54,0.11,"fitness,anime,finance"
U00251,rvelez,Ghana,44,passive_scroller,2026-04-17,0.33,0.03,"gaming,food,finance"
U00252,millerrobin,Spain,25,binge_user,2025-02-02,0.99,0.1,"tech,music,food"
U00253,tyler94,Finland,22,active_engager,2026-01-22,0.42,0.18,"tech,finance,music"
U00254,aroman,Solomon Islands,39,passive_scroller,2025-06-11,0.19,0.04,"fitness,tech,gaming"
U00255,foxjuan,Sierra Leone,41,passive_scroller,2026-03-16,0.4,0.05,"tech,finance,sports"
U00256,lindabrown,Kenya,23,trend_hopper,2025-07-17,0.36,0.1,"fitness,music,gaming"
U00257,richard93,Tokelau,26,active_engager,2025-07-25,0.68,0.16,"memes,tech,fitness"
U00258,williamwagner,China,28,trend_hopper,2026-01-18,0.49,0.11,"music,gaming,tech"
U00259,xbates,Congo,29,active_engager,2026-02-12,0.68,0.22,"music,gaming,sports"
U00260,darleneshaw,Cape Verde,21,trend_hopper,2025-10-08,0.51,0.11,"fitness,gaming,tech"
U00261,hjones,United States Virgin Islands,39,trend_hopper,2026-04-17,0.48,0.11,"memes,tech,anime"
U00262,martinmark,Christmas Island,40,trend_hopper,2025-02-15,0.31,0.08,"gaming,sports,finance"
U00263,kellywright,Dominican Republic,18,trend_hopper,2025-10-28,0.5,0.11,"gaming,music,memes"
U00264,charlene32,Saint Kitts and Nevis,29,binge_user,2025-05-18,0.98,0.07,"memes,music,anime"
U00265,timothy21,Namibia,32,passive_scroller,2025-02-07,0.33,0.01,"tech,anime,finance"
U00266,ericcarter,South Africa,31,passive_scroller,2025-06-15,0.36,0.01,"music,sports,finance"
U00267,larrygonzalez,Cuba,44,trend_hopper,2025-08-07,0.57,0.12,"fitness,memes,gaming"
U00268,jeffrey26,Falkland Islands (Malvinas),44,passive_scroller,2025-07-14,0.36,0.02,"fitness,food,anime"
U00269,kayla62,Netherlands Antilles,26,trend_hopper,2025-03-04,0.32,0.11,"memes,anime,gaming"
U00270,peter31,Liechtenstein,34,passive_scroller,2025-04-07,0.12,0.04,"gaming,finance,sports"
U00271,stevengonzales,Greece,33,active_engager,2026-02-24,0.66,0.17,"finance,sports,food"
U00272,bwilliams,Zambia,38,passive_scroller,2025-01-14,0.37,0.04,"finance,food,tech"
U00273,donald60,North Macedonia,22,passive_scroller,2025-02-16,0.31,0.04,"anime,finance,tech"
U00274,bdiaz,Mauritania,18,passive_scroller,2026-04-01,0.32,0.01,"sports,finance,tech"
U00275,lhart,Falkland Islands (Malvinas),44,trend_hopper,2025-07-01,0.59,0.07,"gaming,memes,finance"
